#,N,N_ext,z,z_std,<mu_g>,<mu_g>_std,log  M_star,log  M_star_std,log  sSFR,log  sSFR_std,(g-r),(g-r)_std,M_g,M_g_std,comment,score
0,1379,1122,0.4100,0.1423,23.0538,0.4126,10.5243,0.3983,-13.1055,1.9978,0.6690,0.0913,-21.0931,0.9427,E,0.4055
1,110,110,0.7650,0.1848,24.5988,0.5507,10.7674,0.5595,-10.4109,1.0335,0.6391,0.1465,-22.0794,1.1424,S0/Sa,0.1073
2,418,418,0.7200,0.2385,24.0788,0.3726,10.0232,0.4552,-9.4505,0.5530,0.3650,0.0984,-21.3614,1.1344,S0/Sa,0.2312
3,267,267,0.5200,0.1852,23.6985,0.3270,9.9449,0.4727,-9.5283,0.6372,0.3931,0.1093,-20.7431,2.8898,Sp,0.1305
4,107,88,0.3150,0.1583,21.8710,0.3631,10.1705,0.4119,-9.6173,1.2832,0.4471,0.1179,-20.8140,4.5782,E,0.0737
5,169,168,0.2800,0.3316,23.6999,0.5032,9.0907,0.4833,-9.3691,0.4336,0.2507,0.0703,-19.0790,1.4466,Sb/Sc,0.0375
6,519,507,0.3400,0.1130,22.5550,0.2939,9.8933,0.4335,-9.5279,0.4703,0.3895,0.0951,-20.5424,1.1519,Sa/Sd,0.2353
7,171,148,0.3500,0.0550,22.4449,0.2522,10.7250,0.2068,-13.6491,1.7706,0.6976,0.0493,-21.3533,0.5603,S0,0.1584
8,87,83,1.0600,0.5669,25.8047,1.3968,10.1729,0.8896,-9.6772,1.5650,0.4042,0.1867,-21.6146,1.9791,Sp    diffuse,-0.0139
9,443,440,0.7150,0.2204,24.2895,0.5444,10.6593,0.4568,-9.8463,0.4582,0.5448,0.0991,-22.0637,1.0638,Sb/Sc,0.0809
10,253,253,0.2000,0.1888,22.7134,0.4255,9.4728,0.4555,-9.5211,0.3765,0.3307,0.1003,-19.4295,1.4336,Sc/Sd,0.0501
11,1383,1349,0.5400,0.1631,23.8833,0.4431,10.6200,0.4892,-11.5226,1.9515,0.6687,0.0874,-21.4207,2.0826,E,0.4813
12,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
13,755,371,0.3200,0.3090,22.2427,0.5497,9.3575,0.7213,-9.3545,2.2987,0.2712,0.1295,-19.7409,6.7339,St,0.4986
14,308,299,1.0900,0.7769,24.6294,0.7348,9.5188,1.1151,-9.2589,0.4863,0.2265,0.1248,-21.0045,3.0442,Sp    disturbed,0.3823
15,726,720,0.2900,0.4668,23.9184,0.5255,8.9282,0.8289,-9.2967,0.2587,0.2251,0.0830,-18.7126,2.3939,Sa/Sb/Sc    many  edge-on,0.2067
16,1921,1918,0.7600,0.4050,24.3477,0.5571,9.7872,0.7229,-9.3801,0.5271,0.3199,0.1194,-21.0679,1.7864,Sp,0.3432
17,307,59,0.0400,0.6772,19.1008,0.8238,9.2151,0.8856,0.0000,4.0493,0.3563,0.1428,-16.9195,20.9311,St,0.6357
18,210,209,0.4400,0.1395,23.0564,0.6457,10.4325,0.4099,-9.6852,0.8779,0.5322,0.0911,-21.2549,1.0578,S0/Sa,0.0127
19,2513,2396,0.4600,0.2377,23.1493,0.4222,9.6767,0.5958,-9.4247,0.7230,0.3132,0.1188,-20.3806,2.1725,Sa/Sb/Sc,0.3851
20,83,4,0.2550,0.1282,20.4734,1.3310,9.0549,0.9567,-9.1316,3.9900,0.2258,0.0551,-19.8759,3.3075,St,0.3198
21,19,19,0.0900,0.6366,22.7257,1.1968,8.7238,1.1154,-9.1041,0.6693,0.1950,0.1447,-18.4289,3.7115,St,0.1166
22,996,139,0.2300,0.3193,21.5466,0.7254,9.4549,1.0970,-9.3305,3.1411,0.2808,0.1578,-19.6017,10.4191,St,0.8277
23,1,0,$-$,$-$,$-$,$-$,$-$,$-$,$-$,$-$,$-$,$-$,$-$,$-$,St,$-$
24,29,7,0.0000,0.2727,21.1888,0.5616,10.2944,1.6557,0.0000,4.4589,1.2127,0.3967,21.3117,19.4510,St,0.3075
25,628,109,0.4100,0.2493,22.7132,0.8055,10.8320,0.5441,-14.6246,2.4651,0.7041,0.2102,-21.5597,4.5243,St,0.6487
26,114,114,0.1400,0.0834,20.8300,0.5368,10.4501,0.5248,-10.4835,2.0947,0.6432,0.1184,-20.4277,3.9181,Sp,0.0888
27,596,596,0.4200,0.2301,23.6251,0.4211,9.8421,0.5299,-9.4470,0.3574,0.3523,0.0879,-20.6020,1.3671,Sa/Sb,0.1607
28,215,213,0.6500,0.2590,23.9350,0.3153,10.0627,0.4722,-9.4747,0.3684,0.3803,0.1068,-21.1851,1.1124,Sp    asymmetries,0.0623
29,582,578,0.9100,0.6590,25.1481,0.9210,9.6311,0.8936,-9.4092,0.8138,0.2818,0.1440,-20.7884,2.2612,Sp    diffuse,0.3396
30,276,275,0.8000,0.1447,24.1033,0.4083,11.0809,0.3119,-10.1070,0.7514,0.6058,0.0986,-22.8326,0.6600,S0/Sa,0.2694
31,172,172,0.2900,0.0673,22.1433,0.5161,10.9563,0.2492,-14.6463,1.7974,0.7302,0.0527,-21.5250,0.6850,E,0.0986
32,22,22,0.5000,0.2602,24.5866,0.6169,9.3318,0.6624,-9.4275,0.1670,0.3115,0.0943,-19.7813,1.6687,Sb/Sc    asymmetries,0.3222
33,322,313,0.4900,0.1334,23.3185,0.4659,10.4994,0.4724,-10.4751,2.2122,0.6237,0.0907,-21.3190,1.0864,S0/Sa,0.3965
34,112,110,0.7900,0.2145,25.2372,0.7460,11.0896,0.5522,-11.2116,1.7067,0.7018,0.1366,-22.4840,1.0210,S0/Sa    asymmetries,0.1682
35,229,229,0.3800,0.4109,23.5276,0.5159,9.1715,0.8930,-9.2366,0.3277,0.2207,0.1044,-19.4808,2.5159,Sb/Sc,0.1907
36,28,19,0.0800,0.5878,18.6888,0.2410,8.9572,0.6571,0.0000,5.0587,0.3563,0.1248,-18.6863,17.9917,St,0.4398
37,22,16,0.1800,0.1358,19.8220,0.7766,10.8560,0.4566,-10.3511,4.8300,0.7146,0.2380,-20.4119,19.1796,St,0.1933
38,97,94,0.9000,0.4246,25.1921,0.7930,10.7716,0.5042,-10.3533,0.9700,0.5868,0.1268,-22.3463,1.2015,Sp  red,0.0578
39,546,45,0.2100,0.3655,20.8336,1.7755,9.6382,0.9801,-9.5467,4.0136,0.3672,0.1868,-19.9505,13.8873,St,0.3977
40,178,152,0.3500,0.6666,23.0222,0.7397,8.8138,1.2776,-9.0763,0.9614,0.1499,0.1261,-19.1528,3.9057,E    blue,0.6036
41,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
42,186,186,0.3600,0.0969,22.8319,0.2141,10.7441,0.3666,-10.4590,1.6368,0.6721,0.0638,-21.3493,0.9496,Sa/Sb,0.1244
43,404,402,0.5600,0.1464,23.7182,0.3131,10.8100,0.4395,-10.0332,0.9609,0.6237,0.0909,-21.9706,1.0392,Sa,0.1408
44,274,138,0.0000,0.3956,20.7909,1.1645,11.7740,0.8241,0.0000,5.4464,1.2127,0.3612,20.7120,21.9901,St,0.5650
45,275,270,0.8900,0.4882,25.0170,0.6689,10.1107,0.7492,-9.5163,0.7588,0.3979,0.1379,-21.3341,1.7572,Sa/Sb/Sc,0.3267
46,275,20,0.1200,0.5497,20.7634,0.8786,8.8821,1.1446,-9.0762,4.0936,0.2461,0.2065,-18.1109,12.0056,St,0.6263
47,544,522,0.7400,0.3537,24.8144,0.5921,10.9058,0.5161,-11.0097,1.6732,0.6833,0.1496,-22.2342,2.3918,E,0.4574
48,179,179,0.2000,0.1295,22.8291,0.2871,8.8978,0.5359,-9.3666,0.2399,0.2306,0.0707,-18.4697,1.6034,Sc/Sd,0.1596
49,192,192,0.8400,0.3016,24.6384,0.7846,10.6425,0.4605,-9.8381,1.2407,0.5131,0.1262,-22.1338,1.0038,Sa/Sb,0.4369
50,191,191,0.1800,0.1790,21.7960,0.3045,9.2699,0.5295,-9.3853,0.7884,0.2605,0.0933,-19.3272,1.7576,Sp,0.1573
51,248,248,0.3600,0.1064,22.6286,0.2714,10.4875,0.3411,-9.8041,1.0832,0.5590,0.0946,-21.1064,1.0789,Sa,0.1308
52,271,270,0.4250,0.2884,23.8511,0.3940,9.4138,0.7032,-9.3848,0.2513,0.2842,0.0970,-19.8865,1.8286,Sb/Sc,0.3153
53,363,362,0.2800,0.2161,22.9519,0.4360,9.2946,0.7356,-9.3970,0.2311,0.2727,0.1069,-19.5082,1.8788,Sa/Sb,0.2824
54,456,454,0.4650,0.1361,23.4870,0.3409,10.8311,0.4476,-10.3491,1.3003,0.6723,0.0907,-21.7288,1.0912,S0/Sa,0.0546
55,1,1,0.0500,0.0000,24.1251,0.0000,7.4700,0.0000,-9.4195,0.0000,0.2507,0.0000,-14.3404,0.0000,St,0.0426
56,4,4,0.3000,0.2872,20.1390,0.3834,11.2644,1.4801,-10.0587,4.4267,0.5508,0.2224,-19.5861,17.4129,St,0.3787
57,260,256,1.0100,0.4103,24.8225,0.7211,10.8449,0.6115,-9.9980,0.9234,0.5618,0.1401,-22.6887,1.3764,S0/Sa,0.4131
58,173,173,0.4900,0.3799,24.1212,0.4826,9.4955,0.7934,-9.3912,0.2911,0.2944,0.0881,-20.2780,2.1533,Sb/Sc,0.2042
59,40,40,0.1200,0.2447,23.0910,1.4123,9.4373,0.8503,-9.6322,1.2456,0.3919,0.1534,-19.0242,2.1557,St,-0.0069
60,85,80,0.8650,0.6691,25.3237,0.8653,9.6007,0.9121,-9.4410,0.5104,0.3032,0.1530,-20.5980,2.2734,Sp    diffuse,0.3807
61,2184,2176,0.6600,0.2229,23.9848,0.3934,10.1684,0.5178,-9.6197,0.6964,0.4503,0.1223,-21.2986,1.5626,E,0.4150
62,111,109,0.2500,0.2080,21.9204,0.9971,10.9597,0.3842,-14.7578,1.8282,0.7326,0.0942,-21.5377,0.8348,St,0.0196
