UML_RA,UML_DEC,HSC_RA,HSC_DEC,HSC_ID,extended,cluster  #,n_pix,score
35.0577,-5.3957,-,-,-,-,102,679,0.3030
35.0579,-5.3889,35.0578,-5.3890,37489923418252388,True,42,95,0.0354
35.0580,-5.3364,35.0579,-5.3363,37489923418256886,True,61,30,0.1652
35.0574,-5.3013,35.0573,-5.3013,37489923418259202,True,101,193,0.1009
35.0575,-5.3789,35.0575,-5.3789,37489923418253221,True,61,28,0.4957
35.0565,-5.4798,35.0563,-5.4798,37489923418247184,True,129,225,-0.2004
35.0561,-5.3397,35.0561,-5.3396,37489923418256415,True,145,18,0.0440
35.0560,-5.3613,35.0559,-5.3612,37489923418254463,True,129,26,-0.0270
35.0559,-5.3020,35.0558,-5.3020,37489923418259203,True,155,49,0.1222
35.0554,-5.3656,35.0553,-5.3655,37489923418254214,True,69,47,0.0464
35.0546,-5.4493,-,-,-,-,96,172,-0.0946
35.0544,-5.3550,35.0543,-5.3548,37489923418255076,True,81,95,-0.0477
35.0533,-5.3381,-,-,-,-,158,198,0.0764
35.0535,-5.3349,35.0535,-5.3349,37489923418255538,False,22,32,0.7977
35.0533,-5.4897,35.0532,-5.4896,37489919123269917,True,98,21,0.4842
35.0520,-5.4674,35.0519,-5.4673,37489923418247894,True,76,27,0.4714
35.0518,-5.3348,-,-,-,-,61,27,0.2384
35.0509,-5.4837,35.0508,-5.4837,37489923418246917,True,87,27,0.0667
35.0489,-5.3104,35.0487,-5.3105,37489923418258425,True,66,255,-0.0264
35.0484,-5.3316,-,-,-,-,33,116,0.1559
35.0484,-5.4808,35.0485,-5.4808,37489923418246937,False,132,112,-0.1047
35.0480,-5.4613,35.0479,-5.4612,37489923418227875,True,98,19,0.1081
35.0472,-5.3657,35.0471,-5.3657,37489923418254158,True,91,232,0.0831
35.0475,-5.3088,35.0475,-5.3086,37489923418258428,True,16,30,0.1947
35.0445,-5.3545,35.0444,-5.3544,37490060857210025,True,10,91,-0.0550
35.0438,-5.4894,35.0437,-5.4894,37490056562236660,True,75,50,0.3934
35.0436,-5.4011,-,-,-,-,152,53,0.0033
35.0433,-5.3099,35.0432,-5.3099,37490060857213384,True,79,67,0.1252
35.0429,-5.4777,35.0428,-5.4776,37490060857201353,True,58,26,0.3622
35.0419,-5.3123,-,-,-,-,124,79,0.6769
35.0420,-5.3020,35.0420,-5.3020,37490060857214385,True,79,21,0.1998
35.0421,-5.3538,35.0420,-5.3537,37490060857209961,True,32,17,0.4613
35.0420,-5.4399,35.0419,-5.4398,37490060857204022,True,49,18,0.5540
35.0410,-5.3951,35.0409,-5.3951,37490060857207062,True,11,67,0.3360
35.0409,-5.3166,35.0409,-5.3165,37490060857213188,True,11,19,0.5900
35.0404,-5.3488,35.0403,-5.3487,37490060857210470,True,86,61,0.2243
35.0400,-5.4046,35.0398,-5.4046,37490060857206430,False,25,16,0.5083
35.0396,-5.4568,35.0395,-5.4568,37490060857202767,True,98,21,0.6474
35.0387,-5.3585,35.0386,-5.3585,37490060857209624,True,3,45,-0.0817
35.0383,-5.3019,35.0382,-5.3018,37490060857214312,True,11,22,0.6168
35.0382,-5.4252,35.0381,-5.4251,37490060857205147,True,16,33,0.1353
35.0375,-5.3893,-,-,-,-,77,251,0.3476
35.0375,-5.3549,35.0374,-5.3549,37490060857209710,True,11,37,0.1648
35.0372,-5.4748,35.0371,-5.4748,37490060857201697,True,87,24,-0.1067
35.0366,-5.4707,35.0366,-5.4706,37490060857201893,True,69,68,0.1153
35.0356,-5.3415,-,-,-,-,36,196,0.3164
35.0359,-5.3009,35.0359,-5.3007,37490060857214311,True,11,17,0.5879
35.0356,-5.4585,-,-,-,-,11,16,0.6098
35.0345,-5.4873,35.0345,-5.4873,37490056562236740,True,84,48,0.3573
35.0346,-5.4749,35.0345,-5.4749,37490060857201754,False,95,32,0.3819
35.0341,-5.2981,35.0341,-5.2981,37490065152169207,True,9,70,0.0542
35.0332,-5.3107,-,-,-,-,96,68,0.0762
35.0333,-5.4730,35.0332,-5.4730,37490060857201861,True,98,25,0.2313
35.0324,-5.4579,-,-,-,-,71,307,0.2142
35.0325,-5.4729,35.0324,-5.4728,37490060857201862,True,32,19,0.5269
35.0321,-5.3120,-,-,-,-,14,21,0.2241
35.0310,-5.4748,35.0309,-5.4747,37490060857201747,False,17,111,0.6909
35.0310,-5.3500,35.0310,-5.3500,37490060857209974,True,16,24,0.1819
35.0303,-5.4144,35.0303,-5.4144,37490060857205706,True,54,71,-0.0376
35.0295,-5.3877,-,-,-,-,25,19,0.4940
35.0285,-5.4337,35.0285,-5.4337,37490060857204507,True,11,75,0.0769
35.0285,-5.4674,35.0284,-5.4674,37490060857202145,True,98,18,0.6219
35.0278,-5.3129,35.0277,-5.3129,37490060857213336,False,147,39,0.5894
35.0271,-5.3116,-,-,-,-,91,188,0.1182
35.0264,-5.4811,35.0262,-5.4811,37490060857201312,True,32,25,0.5193
35.0265,-5.4723,35.0264,-5.4724,37490060857201892,True,11,16,0.2942
35.0256,-5.4471,-,-,-,-,3,87,-0.0331
35.0251,-5.4452,-,-,-,-,19,22,0.1104
35.0244,-5.3362,35.0244,-5.3362,37490060857211961,True,90,172,0.0727
35.0244,-5.3940,-,-,-,-,29,20,0.3280
35.0244,-5.4597,35.0243,-5.4595,37490060857202582,True,96,48,0.0532
35.0200,-5.3915,-,-,-,-,102,5782,0.3492
35.0198,-5.3821,-,-,-,-,102,2595,0.0179
35.0228,-5.4786,-,-,-,-,115,122,0.0882
35.0222,-5.3209,35.0222,-5.3209,37490060857212763,False,13,19,0.5744
35.0219,-5.4165,35.0218,-5.4167,37490060857205579,True,96,143,0.0633
35.0220,-5.4619,35.0220,-5.4619,37490060857202287,True,11,24,0.6074
35.0218,-5.4196,-,-,-,-,25,130,0.1326
35.0217,-5.4035,-,-,-,-,37,106,0.1448
35.0211,-5.4618,35.0210,-5.4617,37490060857202288,False,13,24,0.6114
35.0206,-5.3514,35.0205,-5.3513,37490060857210330,True,33,47,0.4678
35.0205,-5.4830,35.0205,-5.4829,37490060857201057,True,33,34,0.1809
35.0204,-5.4773,35.0203,-5.4773,37490060857180730,True,13,56,0.1137
35.0199,-5.4743,35.0199,-5.4742,37490060857201701,True,155,104,0.3515
35.0200,-5.4447,35.0199,-5.4447,37490060857203569,True,98,18,0.6546
35.0198,-5.3780,-,-,-,-,16,25,0.4918
35.0188,-5.4721,35.0187,-5.4720,37490060857201700,True,140,79,-0.0450
35.0187,-5.4378,35.0186,-5.4377,37490060857204183,True,50,73,0.1924
35.0184,-5.4703,35.0183,-5.4702,37490060857201699,False,22,54,0.7417
35.0176,-5.3854,-,-,-,-,112,100,0.3772
35.0174,-5.4554,35.0174,-5.4553,37490060857202859,True,84,108,0.1170
35.0168,-5.3665,-,-,-,-,137,407,0.1197
35.0175,-5.4299,35.0176,-5.4299,37490060857204846,False,25,33,0.4207
35.0168,-5.4712,35.0168,-5.4712,37490060857201703,True,129,29,-0.0967
35.0167,-5.2969,35.0165,-5.2968,37490065152169328,True,19,16,0.5400
35.0155,-5.3836,-,-,-,-,58,23,0.3798
35.0151,-5.3812,-,-,-,-,129,21,-0.0753
35.0138,-5.3049,35.0138,-5.3048,37490060857213607,True,33,43,0.2373
35.0131,-5.4524,35.0131,-5.4523,37490060857203009,True,26,453,-0.0302
35.0128,-5.3069,35.0127,-5.3067,37490060857213606,True,26,575,0.0800
35.0127,-5.4165,-,-,-,-,54,177,-0.0339
35.0117,-5.4750,35.0117,-5.4750,37490060857200571,True,129,671,-0.1502
35.0119,-5.4591,35.0118,-5.4590,37490060857202655,True,129,380,-0.1240
35.0121,-5.4264,35.0121,-5.4264,37490060857204951,True,98,45,0.5681
35.0121,-5.4140,-,-,-,-,16,55,0.0737
35.0116,-5.3840,-,-,-,-,82,41,-0.0178
35.0115,-5.3880,-,-,-,-,61,26,0.1519
35.0110,-5.4537,35.0109,-5.4537,37490060857203010,True,94,136,0.0441
35.0111,-5.3473,35.0110,-5.3472,37490060857210714,True,104,69,-0.0685
35.0100,-5.3363,35.0099,-5.3363,37490060857211574,True,104,32,0.1031
35.0096,-5.3043,35.0095,-5.3043,37490060857213618,True,16,17,0.2371
35.0088,-5.3929,-,-,-,-,106,325,-0.0043
35.0086,-5.4838,35.0085,-5.4836,37490060857200575,True,42,108,0.1399
35.0080,-5.4346,35.0079,-5.4345,37490060857204423,True,55,139,-0.0620
35.0083,-5.3139,35.0083,-5.3139,37490060857213292,True,13,19,0.1948
35.0079,-5.4056,-,-,-,-,152,35,0.4225
35.0076,-5.4222,35.0075,-5.4221,37490060857205284,True,33,23,0.5843
35.0076,-5.4249,35.0076,-5.4248,37490060857205140,True,19,36,0.1421
35.0069,-5.4768,-,-,-,-,83,296,0.0395
35.0067,-5.4563,35.0067,-5.4562,37490060857202734,True,151,105,0.0924
35.0069,-5.3714,35.0068,-5.3714,37490060857208675,False,20,61,0.3640
35.0065,-5.4495,35.0065,-5.4494,37490060857203372,True,0,77,0.2821
35.0066,-5.3396,35.0066,-5.3395,37490060857211581,True,16,31,0.1370
35.0064,-5.4352,35.0064,-5.4352,37490060857204425,True,11,41,0.4538
35.0058,-5.3477,35.0057,-5.3477,37490060857210615,True,7,111,0.2165
35.0056,-5.3275,-,-,-,-,105,131,0.3588
35.0050,-5.4818,35.0051,-5.4816,37490060857200572,True,129,722,-0.1244
35.0048,-5.4449,-,-,-,-,106,573,0.1002
35.0056,-5.3755,-,-,-,-,0,35,0.2578
35.0048,-5.3244,-,-,-,-,54,62,0.0044
35.0038,-5.4105,35.0037,-5.4105,37490060857206171,True,91,109,-0.1552
35.0041,-5.4878,35.0040,-5.4878,37490056562236715,False,46,43,0.6740
35.0035,-5.3570,35.0035,-5.3569,37490060857209750,True,116,166,0.0829
35.0039,-5.4687,35.0038,-5.4687,37490060857202065,True,19,35,0.4355
35.0037,-5.4613,35.0036,-5.4612,37490060857202426,True,42,119,0.1877
35.0035,-5.4737,35.0034,-5.4737,37490060857201809,True,13,62,0.0912
35.0034,-5.4314,35.0033,-5.4313,37490060857204671,True,11,32,0.5949
35.0033,-5.4239,35.0032,-5.4239,37490060857205196,True,11,54,0.2762
35.0034,-5.4479,35.0032,-5.4479,37490060857203376,True,49,17,0.3072
35.0032,-5.4134,35.0031,-5.4134,37490060857205763,True,61,35,0.1103
35.0033,-5.3782,-,-,-,-,16,17,0.5048
35.0032,-5.3281,-,-,-,-,114,38,0.0556
35.0031,-5.4300,35.0030,-5.4299,37490060857204670,True,13,23,0.5272
35.0019,-5.3381,35.0019,-5.3381,37490060857211493,True,82,38,-0.0140
35.0016,-5.3098,35.0016,-5.3098,37490060857213701,True,50,78,0.2046
35.0007,-5.4335,35.0006,-5.4334,37490060857204533,True,101,246,0.0059
35.0012,-5.4136,35.0013,-5.4134,37490060857205762,True,3,39,0.3412
35.0014,-5.4804,35.0014,-5.4803,37490060857200580,True,49,18,0.5122
35.0010,-5.4347,35.0009,-5.4347,37490060857204534,True,16,20,0.3915
35.0003,-5.4853,35.0002,-5.4852,37490060857200955,True,152,50,0.1635
35.0004,-5.4213,35.0003,-5.4213,37490060857205373,True,3,17,0.2212
35.0000,-5.3921,-,-,-,-,16,21,0.2295
35.0000,-5.4890,34.9999,-5.4890,37490056562233939,True,129,35,-0.0794
34.9993,-5.4613,34.9993,-5.4612,37490060857202327,True,120,159,0.4088
34.9995,-5.4374,34.9994,-5.4373,37490060857204157,True,98,33,0.0907
34.9993,-5.4448,34.9992,-5.4448,37490060857203375,True,152,38,0.0077
34.9990,-5.3522,34.9989,-5.3522,37490060857210064,False,113,25,0.7736
34.9985,-5.4626,34.9984,-5.4625,37490060857202330,True,81,64,0.2314
34.9974,-5.3687,-,-,-,-,108,199,-0.0098
34.9978,-5.4872,34.9978,-5.4872,37490056562233948,True,16,17,0.1423
34.9975,-5.4883,34.9976,-5.4884,37490056562233932,True,33,49,0.4402
